1;null;25033:635-636
1;null;25033:639-640
1;null;25033:641-642
1;null;25033:633-634
1;null;25033:637-638
1;null;25033:643-644
1;null;25035:1105-1106
1;null;25035:1103-1104
1;null;25035:1107-1108
1;null;25005:319-320
1;null;25005:309-310
1;null;25005:311-312
1;null;25005:301-302
1;null;25005:313-314
1;null;25005:305-306
1;null;25005:317-318
1;null;25005:303-304
1;null;25005:315-316
1;null;25019:1111-1112
1;null;25019:1115-1116
1;null;25019:1109-1110
1;null;25019:1113-1114
1;null;25012:651-652
1;null;25012:653-654
1;null;25012:647-648
1;null;25012:645-646
1;null;25012:655-656
1;null;25012:657-658
1;null;25012:649-650
1;null;25038:659-700
1;null;25038:707-708
1;null;25038:701-702
1;null;25038:709-710
1;null;25038:703-704
1;null;25038:711-712
1;null;28003:1705-1706
1;null;32046:19-20
1;null;32046:13-14
1;null;32028:40-41
1;null;32001:42-43
1;null;32004:28-29
1;null;32004:34-35
1;null;32004:30-31
1;null;32004:36-37
1;null;32004:26-27
1;null;32004:24-25
1;null;24028:1400-1659
1;null;22038:102-103
1;null;22038:104-105
1;null;22038:106-107
1;null;22038:108-109
1;null;22038:110-111
1;null;22038:112-113
1;null;22038:114-115
1;null;22038:116-117
1;null;22038:118-119
1;null;22038:120-121
1;null;29049:400-559
1;null;30003:1829-1830
1;null;30003:1831-1832
1;null;30003:1833-1834
1;null;30003:1823-1824
1;null;30003:1835-1836
1;null;30003:1827-1828
1;null;30003:1825-1826
1;null;30003:1819-1820
1;null;30002:1841-1842
1;null;30002:1843-1844
1;null;30002:1837-1838
1;null;30002:1839-1840
2;null;32046:17-18;22032:18-19
2;null;32046:11-12;22032:12-13
2;null;32003:1-2;22032:0-1
2;null;22038:100-101;04236:100-101
2;null;05316:1800-1801;05316:1800-1801
2;null;05316:1802-1803;05316:1802-1803
2;null;05316:1812-1813;05316:1812-1813
2;null;05317:1806-1807;05317:1806-1807
3;null;25033:631-632;20053:600-729;29050:600-759
3;null;32046:15-16;22032:14-15;22032:16-17
3;null;32046:21-22;22032:20-21;22032:22-23
3;null;05317:1816-1817;05317:1816-1817;30003:1817-1818
4;null;17127:1201-1203;24089:1200-1201;09707:1201-1202;09711:1203-1204
4;null;25005:307-308;00132:100-359;29046:0-159;29048:200-359
4;null;32046:9-10;22032:10-11;05319:10-11;05319:10-11
5;null;32003:3-4;22032:2-3;33022:1-2;33022:1-2;33022:1-2
7;null;32046:7-8;22032:6-7;22032:8-9;05318:6-7;05318:6-7;05319:8-9;05319:8-9
7;null;32051:5-6;22032:4-5;05317:4-5;05317:4-5;33013:3-4;33013:3-4;33013:3-4
12;null;25035:1101-1102;18159:800-1159;18159:800-1159;20060:1000-1129;23062:800-1159;23029:800-1159;22029:800-1159;29047:800-959;29051:1000-1159;29022:800-1059;29015:800-1059;29026:800-1059
13;null;28003:1703-1704;22024:1400-1759;05304:1400-1559;05304:1400-1559;05304:1400-1559;05304:1400-1559;05304:1400-1559;05304:1400-1559;05304:1400-1559;05304:1400-1559;05304:1400-1559;05304:1400-1559;29052:1400-1559
1;LU;21112:700-959
8;LU;17073:1200-1459;17012:1200-1359;17011:1400-1559;17035:1100-1359;17052:1100-1359;17126:1100-1359;17126:1100-1359;17106:1100-1359
